"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"16994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16995","gy25897",60606,13265003,8,"S","","O","A","E","3","M",38,2
"16996","oy39038",2476,17664172,7,"S","","O","M","J","1","Y",54,1
"16997","rx62247",60532,5263949,5,"M","N","O","S","C","2","Y",40,2
"16998","fx71433",60101,6342696,NA,"S","Y","O","S","E","1","M",56,1
"16999","jy21360",20740,12407749,NA,"","","","","","","Y",NA,NA
"17000","yy26985",6042,13537960,NA,"S","","","","A","3","M",NA,NA
"17001","my26402",6518,13389549,NA,"S","N","O","M","H","1","Y",56,3
"17002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17003","vy29445",20740,14355860,13,"M","N","O","S","","4","Y",56,3
"17004","gy27941",2135,13897576,NA,"","","","","","","",NA,NA
"17005","ry19957",60610,12110049,NA,"","","","","","","Y",NA,NA
"17006","yx81028",2114,7534072,12,"M","","O","M","H","1","Y",38,1
"17007","ry31642",2048,14889462,12,"S","Y","O","M","G","1","F",42,NA
"17008","qy22465",1844,12594236,NA,"","","","","","","Y",NA,NA
"17009","jx60280",6413,5022460,12,"S","N","O","M","F","1","F",38,2
"17010","bx96768",53208,10785836,NA,"","","","","","","M",NA,NA
"17011","ky32117",1801,15007088,NA,"","","","","","","",NA,NA
"17012","uy33244",1845,15244360,8,"S","N","O","M","","1","F",54,3
"17013","py50332",20782,19980237,8,"S","N","O","M","H","1","F",56,1
"17014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17015","qy42391",2135,18448476,7,"S","","","S","E","1","Y",38,3
"17016","yy36672",20011,16000070,NA,"","","","","","","Y",NA,NA
"17017","dy25066",2779,13046098,8,"S","Y","O","M","A","1","F",32,2
"17018","ey50026",60640,19904070,NA,"S","","","","","5","Y",32,NA
"17019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17020","hy52100",19073,20434430,12,"S","Y","O","M","C","1","F",50,3
"17021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17022","ly48653",20879,19621396,12,"S","N","O","M","H","1","Y",56,3
"17023","cx93537",10514,10180249,NA,"","","","","","","F",NA,NA
"17024","ly45880",20170,19169049,NA,"S","","","","D","1","Y",NA,NA
"17025","cx75947",22041,6862776,13,"S","","O","","","2","M",NA,NA
"17026","sx79672",10016,7328072,NA,"","","","","","","Y",NA,NA
"17027","ex29616",60626,2397862,NA,"","","","","","","F",NA,NA
"17028","ky36305",20164,12263196,7,"S","Y","","S","G","2","Y",NA,NA
"17029","wx49001",11530,3778230,10,"S","N","O","M","I","1","M",56,2
"17030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17031","oy35361",10541,15642956,12,"S","N","O","M","D","1","Y",52,1
"17032","cy38114",60010,17414262,6,"S","N","O","M","","1","Y",38,2
"17033","cy38452",60071,17497788,8,"S","Y","O","M","C","1","F",36,1
"17034","zy26465",60618,13416762,4,"S","N","O","S","","3","Y",56,NA
"17035","qy47692",3087,19418637,NA,"","","","","","","Y",NA,NA
"17036","dy40291",2061,17932460,13,"S","","O","S","G","1","F",40,3
"17037","my41490",10606,18210036,NA,"M","","","B","F","1","Y",44,1
"17038","cy34686",19130,15413948,6,"S","Y","O","M","C","1","F",32,1
"17039","rx63988",60564,5478430,NA,"S","","","","","2","F",36,2
"17040","ny45746",11375,19143998,NA,"M","","","B","H","1","M",30,1
"17041","yy36572",60660,15969572,7,"M","","O","S","G","1","F",38,2
"17042","ox91598",2703,9529530,12,"S","N","O","M","C","1","Y",52,2
"17043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17044","fy32138",2135,15007660,5,"M","","","S","","3","Y",30,2
"17045","xy19790",7727,12063362,NA,"","","","","","","",NA,NA
"17046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17047","px86048",60613,8174556,7,"M","","O","S","B","1","F",34,NA
"17048","jy38288",20017,17459730,NA,"","","","","","","",NA,NA
"17049","vy36502",10312,15940960,7,"S","Y","O","M","I","1","M",30,NA
"17050","fy26215",53139,13308198,8,"S","","O","S","","2","F",32,2
"17051","hy38167",60532,17236837,NA,"","","","","","","Y",NA,NA
"17052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17053","qy29897",2777,14480376,7,"S","N","O","M","","2","M",42,2
"17054","uy51952",60190,20409203,NA,"","","","","","","",NA,NA
"17055","yy21517",2720,12429537,NA,"","","","","","","",NA,NA
"17056","py31620",1030,10135076,8,"S","N","O","M","C","1","F",44,3
"17057","sx76792",21133,6972396,NA,"","","","","","","F",NA,NA
"17058","py39227",22193,17705098,NA,"","","","","","","F",NA,NA
"17059","by40971",20012,12089996,NA,"","","","","","","",NA,NA
"17060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17063","hy44425",6066,18690860,8,"S","","O","M","A","3","Y",34,2
"17064","ux97570",53210,10956288,NA,"","","","","","","F",NA,NA
"17065","sy48220",8850,19529672,NA,"","","","","","","",NA,NA
"17066","fy16556",2324,11346056,10,"S","Y","O","M","B","1","Y",54,1
"17067","ty37840",2130,17350737,6,"M","Y","","S","D","1","Y",30,1
"17068","ny38890",21212,17623496,9,"S","Y","O","M","C","1","M",52,2
"17069","xx82430",11763,7725872,7,"S","Y","O","S","E","1","M",40,1
"17070","py48323",1002,19550270,6,"S","Y","O","S","E","2","Y",42,NA
"17071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17072","uy26901",60641,13527872,NA,"","","","","","","",NA,NA
"17073","jy36165",60610,15863898,NA,"S","","O","B","G","1","Y",26,NA
"17074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17075","iy37260",7726,17187988,9,"S","","O","S","H","1","Y",32,NA
"17076","qx70956",6811,6287198,12,"S","N","O","M","","3","M",88,NA
"17077","py43541",1778,18130736,13,"S","Y","O","M","G","2","Y",36,NA
"17078","my45311",60047,18530649,NA,"","","","","","","",NA,NA
"17079","ry35153",60657,15604103,NA,"","","","","","","F",NA,NA
"17080","gx92357",20005,9877676,NA,"","","","","","","F",NA,NA
"17081","fx76632",6422,6950470,NA,"","","","","","","",NA,NA
"17082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17084","cx86853",7506,8310996,13,"S","","O","B","F","1","M",56,3
"17085","iy24795",60613,12971860,7,"S","Y","O","M","F","2","F",56,3
"17086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17087","rx92738",60613,10011570,12,"M","N","O","M","G","1","Y",64,3
"17088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17090","dx84772",11379,7607356,NA,"","","","","","","M",NA,NA
"17091","ny44359",20715,18889056,9,"S","Y","O","M","H","1","M",38,1
"17092","ty42923",11001,18595937,NA,"","","","","","","M",NA,NA
"17093","ky32305",2189,10530449,9,"S","Y","O","M","H","1","F",56,NA
"17094","fy27250",7731,13629156,7,"S","Y","O","A","E","1","Y",38,1
"17095","qy17217",7302,11538088,NA,"","","","","","","",NA,NA
"17096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17097","jy41071",11374,18133960,NA,"","","","","","","",NA,NA
"17098","gx82139",20037,7656398,NA,"","","","","","","Y",NA,NA
"17099","ox05815",10804,1167760,12,"S","N","O","M","G","1","Y",70,1
"17100","iy34898",19026,14860272,8,"S","Y","O","S","E","2","M",40,1
"17101","vy45185",60618,18982570,NA,"","","","","","","",NA,NA
"17102","dy40587",60613,18036876,11,"M","Y","O","","C","1","M",24,3
"17103","ex57658",11724,4368948,13,"S","Y","O","A","J","1","F",36,2
"17104","ry22316",8873,12574249,NA,"","","","","","","Y",NA,NA
"17105","ky23540",21029,12775348,12,"S","N","O","M","H","1","F",64,3
"17106","wy28085",46214,13925648,NA,"","","","","","","",NA,NA
"17107","ly49316",10025,19749748,13,"S","Y","O","M","A","4","M",70,2
"17108","jy24224",7601,12039862,7,"M","","O","S","","3","M",36,1
"17109","fx05781",60177,1249603,10,"S","Y","O","M","G","1","F",42,1
"17110","iy26980",10603,13542603,NA,"","","","","","","",NA,NA
"17111","ry38449",8723,17501536,7,"S","Y","O","M","A","1","Y",34,2
"17112","tx95979",2108,10554470,NA,"M","","O","B","","3","M",66,NA
"17113","hy48419",53210,19571596,7,"S","Y","O","A","D","1","Y",40,1
"17114","ty40245",10280,17713649,13,"M","Y","","S","G","1","Y",48,NA
"17115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17116","py47052",20064,19351449,12,"S","Y","O","M","F","1","Y",46,1
"17117","ty34487",10308,15481162,12,"S","Y","O","M","","1","M",48,2
"17118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17119","by43711",2118,18671360,NA,"M","","","B","C","1","M",NA,NA
"17120","py24133",20854,12867760,13,"S","N","O","M","H","1","Y",34,2
"17121","hy34710",2050,15526003,NA,"","","","","","","F",NA,NA
"17122","ry45087",2747,19037336,NA,"","","","","","","",NA,NA
